,peak value,peak error,valley value,valley error,mean value
Uh=8,4.94743,0.03817,4.92657,0.02656,4.937
Uh=9,4.91571,0.02881,4.916,0.0199,4.915855
Uh=10,4.9,0.02666,4.95829,0.02666,4.929145
U2=0.5,4.93543,0.05812,4.958,0.02343,4.946715
U2=1,5.138,0.04121,4.97,0.02121,5.054
U2=1.5,5.164,0.06412,4.9,0.07273,5.032
U2=2,5.021,0.13952,4.695,0.19341,4.858
T=140,4.954,0.03524,4.961,0.04058,4.9575
T=145,4.913,0.0736,4.703,0.08322,4.808
T=150,4.969,0.04612,4.945,0.04599,4.957
T=155,4.907,0.06167,4.991,0.02207,4.949
T=160,4.944,0.03581,4.959,0.0367,4.9515
